EXP;PROJECT;CONFIG;FIT_MEAN;FIT_STD;SCORE_MEAN;SCORE_STD;MAE;RMSE;MAPE;R2
2;apache_kafka_measures;1C2;167.0950839996338;71.63402647111525;0.14890294075012206;0.006607291766506173;2693.913492838542;3185.5753060531497;5.49991545228251;-7.683790257378385
2;apache_kafka_measures;5C2;161.7799707889557;69.86600369553635;0.16035699844360352;0.021353515107298278;3367.216661005435;3918.1405397398353;7.436218199072738;-6.787238488972287
2;apache_kafka_measures;10C2;172.2795105934143;70.27736575158232;0.16157102584838867;0.017274801953068193;2489.9637737771745;2854.197543964371;5.268569429560339;-2.978299630725723
2;apache_kafka_measures;20C2;152.6339093208313;68.35611655471166;0.15563645362854003;0.011547461772811865;3047.3722470238095;3504.380451649181;6.030588315173551;-4.718670460719214
2;apache_kafka_measures;40C2;127.59944581985474;50.8364584641064;0.15475139617919922;0.010156535986106748;3942.478125;4492.093521311931;7.291912123240737;-23.24279911444783
3;apache_kafka_measures;1C2;179.174879693985;74.28027202945304;0.16350979804992677;0.015372660478894622;2771.99873046875;3483.187345142504;6.266931603091206;-6.967910211059004
3;apache_kafka_measures;5C2;166.2068573951721;64.17065992061222;0.17900657653808594;0.02953486636602347;2406.1421195652174;2927.139911137975;4.80321830275199;-6.262030226682776
3;apache_kafka_measures;10C2;168.7737216949463;71.25487850783874;0.15314893722534179;0.013736445941499554;3415.4386379076086;3747.138036892822;6.69725853017041;-10.158565795882279
3;apache_kafka_measures;20C2;156.50086846351624;66.11346887357499;0.15501871109008789;0.011076198860196219;3343.8102678571427;3890.3405497921585;6.488547085857223;-4.2241286557042255
3;apache_kafka_measures;40C2;131.60113906860352;49.58899940103529;0.15373625755310058;0.0032021032218225312;2983.7536892361113;3493.928637517368;5.704596355856173;-9.947374631176753
4;apache_kafka_measures;1C2;165.12088298797607;68.93987170706176;0.14890131950378419;0.013691835285207314;2452.6145996093755;2896.7925952360924;5.219427886149009;-4.412464798784484
4;apache_kafka_measures;5C2;169.63914818763732;69.46669647990684;0.1612560749053955;0.0143997733836969;2585.0910495923913;3144.728450590668;5.474446654482547;-6.575982690621378
4;apache_kafka_measures;10C2;160.73132348060608;70.14669464594738;0.15955939292907714;0.01689143029311212;3771.64386888587;4179.079763342815;7.6902459665313305;-6.7717546428868305
4;apache_kafka_measures;20C2;151.67210450172425;64.97686633777002;0.16538734436035157;0.015870313406498204;3512.881919642857;3961.601023192606;6.743658115742764;-6.53451015923969
4;apache_kafka_measures;40C2;127.72714176177979;48.9520184427599;0.16770052909851074;0.02199986083098356;4592.220833333333;5029.920304582347;8.263322272623194;-44.83379513123835
5;apache_kafka_measures;1C2;160.32562265396118;71.32463045581015;0.18001728057861327;0.046251387837320884;2510.071988932292;3089.468579439127;4.936156495624157;-6.11907089525806
5;apache_kafka_measures;5C2;174.18330726623535;67.54225624280116;0.16820163726806642;0.013545099521454041;3078.4681555706525;3681.5322941630548;6.943907353900459;-8.259087272305022
5;apache_kafka_measures;10C2;165.67518258094788;70.35508054670446;0.1759939193725586;0.021973917472404462;2749.6646229619564;3138.25567502357;5.64594050926002;-4.143874194278171
5;apache_kafka_measures;20C2;162.18451328277587;71.93734335258655;0.16579556465148926;0.006735717193182007;2372.225892857143;2840.7614207920933;4.600815621638285;-1.2072503095901284
5;apache_kafka_measures;40C2;127.46406893730163;46.0954212722639;0.17339496612548827;0.02996813171433421;3618.9541666666664;3973.588117528828;6.7419895674396;-20.253874602557126
1;apache_kafka_measures;1C3;180.06288914680482;76.45788464012693;0.17022995948791503;0.014925827378674147;2887.474951171875;3494.949268830989;6.173478708728719;-6.717848152951774
1;apache_kafka_measures;5C3;177.2446994781494;72.79768224355993;0.1732333183288574;0.010193675276803685;2920.21808763587;3382.0932066253577;6.092506200919589;-3.936815060012684
