Dataset;Algoritm;window;model;resample;F1-Score(weighted);Accuracy;Sensitivity;Specificity;ROCAUCscore
commons-io;DT;3;model1;ROS;0.946233905;0.9470430661;0.7211079274;0.9743619356;0.8477349315
commons-io;DT;3;model1;NONE;0.9431265961;0.9452915722;0.664756447;0.9792123802;0.8219844136
commons-io;MLP;3;model1;NONE;0.9426784158;0.9453946013;0.6466093601;0.9815221157;0.8140657379
commons-io;LogistRegression;3;model1;ROS;0.8065257525;0.7671543375;0.7258834766;0.7721445894;0.749014033
commons-io;LogistRegression;3;model1;ADA;0.8039209999;0.7637543787;0.7220630372;0.7687954729;0.7454292551
commons-io;LogistRegression;3;model1;NONE;0.8055309446;0.766227076;0.7096466094;0.7730684837;0.7413575465
commons-io;LogistRegression;3;model1;SMOTE;0.8066823997;0.7678755409;0.70582617;0.7753782192;0.7406021946
commons-bcel;LogistRegression;3;model1;SMOTE;0.9310263764;0.9051217464;0.9459459459;0.903812825;0.9248793855
commons-bcel;LogistRegression;3;model1;ADA;0.9299705308;0.9034424853;0.9459459459;0.9020797227;0.9240128343
commons-bcel;LogistRegression;3;model1;ROS;0.9257568276;0.8967254408;0.9459459459;0.8951473137;0.9205466298
commons-bcel;LogistRegression;3;model1;NONE;0.920505225;0.8883291352;0.9459459459;0.8864818024;0.9162138742
commons-bcel;RandomForest;3;model1;ADA;0.9912441546;0.9916036944;0.7837837838;0.9982668977;0.8910253408
commons-bcel;MLP;3;model1;ROS;0.9801062027;0.9790092359;0.7837837838;0.9852686308;0.8845262073
commons-bcel;MLP;3;model1;ADA;0.9794215349;0.9781696054;0.7837837838;0.9844020797;0.8840929318
commons-bcel;MLP;3;model1;SMOTE;0.9794215349;0.9781696054;0.7837837838;0.9844020797;0.8840929318
commons-bcel;RandomForest;3;model1;ROS;0.9911093288;0.9916036944;0.7567567568;0.9991334489;0.8779451028
commons-bcel;DT;3;model1;ADA;0.9832073887;0.9832073887;0.7297297297;0.9913344887;0.8605321092
commons-bcel;RandomForest;3;model1;SMOTE;0.9883503343;0.9890848027;0.7027027027;0.9982668977;0.8504848002
commons-bcel;MLP;3;model1;NONE;0.9852245444;0.9857262804;0.7027027027;0.9948006932;0.848751698
commons-bcel;DT;3;model1;SMOTE;0.9727954712;0.9714525609;0.6486486486;0.9818024263;0.8152255375
commons-bcel;DT;3;model1;NONE;0.9808702541;0.9823677582;0.5675675676;0.9956672444;0.781617406
commons-bcel;DT;3;model1;ROS;0.9772348019;0.9781696054;0.5675675676;0.9913344887;0.7794510282
commons-bcel;RandomForest;3;model1;NONE;0.9813566327;0.9840470193;0.4864864865;1;0.7432432432
wro4j;DT;4;model1;SMOTE;0.9156686405;0.9108957693;0.8149466192;0.9255928046;0.8702697119
wro4j;RandomForest;4;model1;ADA;0.9305620596;0.9302765304;0.7473309609;0.9582992641;0.8528151125
wro4j;RandomForest;4;model1;SMOTE;0.9290412414;0.9290947766;0.731316726;0.9593894794;0.8453531027
wro4j;DT;4;model1;ADA;0.906255142;0.9023871425;0.7384341637;0.9275006814;0.8329674225
wro4j;RandomForest;4;model1;ROS;0.9252455512;0.9279130229;0.6494661922;0.9705641864;0.8100151893
wro4j;DT;4;model1;ROS;0.9039798286;0.90475065;0.6227758007;0.9479422186;0.7853590096
wro4j;MLP;4;model1;ROS;0.8965533008;0.8952966202;0.6352313167;0.9351321886;0.7851817527
wro4j;DT;4;model1;NONE;0.9030267748;0.903805247;0.6192170819;0.9473971109;0.7833070964
wro4j;MLP;4;model1;SMOTE;0.8900886188;0.8891515008;0.603202847;0.932951758;0.7680773025
wro4j;MLP;4;model1;ADA;0.8916281662;0.8962420232;0.5160142349;0.9544835105;0.7352488727
wro4j;LogistRegression;4;model1;ROS;0.7804672956;0.7440321437;0.6939501779;0.7517034614;0.7228268197
