Dataset;Algoritm;Approach;window;model;resample;F1-Score(weighted);Accuracy;Sensitivity;Specificity;ROC
wro4j;MLP;Our;3;model2;ADA;0.894611736;0.890663667;0.6405959032;0.9250255885;0.7828107459
wro4j;DT;Our;3;model1;NONE;0.9164285017;0.9187851519;0.6014897579;0.9623848516;0.7819373048
wro4j;MLP;Our;3;model2;ROS;0.9048436449;0.9057367829;0.5884543762;0.9493346981;0.7688945371
wro4j;MLP;Our;3;model2;SMOTE;0.9046120588;0.9066366704;0.5661080074;0.9534288639;0.7597684357
wro4j;LogistRegression;Our;3;model1;ROS;0.7728004926;0.7271091114;0.7951582868;0.7177584442;0.7564583655
wro4j;LogistRegression;Our;3;model1;ADA;0.7495985576;0.6974128234;0.8268156425;0.6796315251;0.7532235838
wro4j;LogistRegression;Our;3;model2;ROS;0.7711262136;0.7250843645;0.7877094972;0.7164790174;0.7520942573
wro4j;LogistRegression;Our;3;model1;SMOTE;0.7663911381;0.7190101237;0.7895716946;0.7093142272;0.7494429609
wro4j;LogistRegression;Our;3;model2;SMOTE;0.769826633;0.7235095613;0.782122905;0.7154554759;0.7487891905
wro4j;LogistRegression;Our;3;model2;ADA;0.7512394754;0.6996625422;0.8044692737;0.6852610031;0.7448651384
wro4j;LogistRegression;Our;3;model1;NONE;0.7717404745;0.7262092238;0.7672253259;0.7205731832;0.7438992545
wro4j;LogistRegression;Our;3;model2;NONE;0.7747290323;0.7302587177;0.7560521415;0.7267144319;0.7413832867
wro4j;MLP;Our;3;model2;NONE;0.9032920661;0.9106861642;0.4729981378;0.9708290686;0.7219136032
wro4j;MLP;Our;3;model1;NONE;0.9007202901;0.9077615298;0.4711359404;0.9677584442;0.7194471923
wro4j;RandomForest;Our;3;model2;NONE;0.9121817854;0.9226096738;0.4487895717;0.9877175026;0.7182535371
wro4j;RandomForest;Our;3;model1;NONE;0.9110465119;0.9217097863;0.4432029795;0.9874616172;0.7153322984
pdfbox;RandomForest;Our;3;model2;SMOTE;0.9386706345;0.9385543088;0.7340496978;0.9647778161;0.8494137569
pdfbox;MLP;Our;3;model2;ROS;0.9138588124;0.9080986184;0.7696440564;0.9258525663;0.8477483114
pdfbox;RandomForest;Our;3;model2;ADA;0.9372558997;0.9370277078;0.7313633311;0.9633999311;0.8473816311
pdfbox;RandomForest;Our;3;model1;ADA;0.9397877106;0.9400809099;0.725319006;0.9676197038;0.8464693549
pdfbox;RandomForest;Our;3;model1;SMOTE;0.938719419;0.9389359591;0.723304231;0.96658629;0.8449452605
pdfbox;MLP;Our;3;model1;ROS;0.9002921102;0.891000687;0.7777031565;0.9055287633;0.8416159599
pdfbox;MLP;Our;3;model1;ADA;0.8976971748;0.8876421647;0.7803895232;0.9013951085;0.8408923158
pdfbox;DT;Our;3;model1;ADA;0.9163775154;0.911915121;0.7474815312;0.9330003445;0.8402409379
pdfbox;DT;Our;3;model2;ADA;0.9243009117;0.9219906877;0.7306917394;0.9465208405;0.83860629
pdfbox;MLP;Our;3;model2;NONE;0.9268758226;0.9255782001;0.7145735393;0.952635205;0.8336043721
pdfbox;MLP;Our;3;model2;SMOTE;0.9207621705;0.9182505152;0.717259906;0.944023424;0.830641665
pdfbox;DT;Our;3;model1;SMOTE;0.893854051;0.883596672;0.7568838146;0.8998449879;0.8283644013
pdfbox;MLP;Our;3;model1;SMOTE;0.8981408407;0.889550416;0.7421087979;0.9084567689;0.8252827834
pdfbox;RandomForest;Our;3;model2;ROS;0.9354968494;0.9368750477;0.6749496306;0.9704615915;0.822705611
pdfbox;RandomForest;Our;3;model1;ROS;0.9354761617;0.9368750477;0.674278039;0.9705477093;0.8224128741
pdfbox;DT;Our;3;model2;SMOTE;0.9062010288;0.9005419434;0.717259906;0.9240440923;0.8206519991
pdfbox;MLP;Our;3;model2;ADA;0.9239127176;0.9237462789;0.6695768972;0.9563382708;0.812957584
pdfbox;DT;Our;3;model1;ROS;0.9242935928;0.9246622395;0.6574882471;0.958921805;0.8082050261
pdfbox;DT;Our;3;model2;ROS;0.9218904659;0.9221433478;0.6501007388;0.9570272132;0.803563976
pdfbox;DT;Our;3;model1;NONE;0.922296403;0.9230593084;0.639355272;0.9594385119;0.7993968919
pdfbox;DT;Our;3;model2;NONE;0.9225752168;0.9234409587;0.6380120887;0.9600413365;0.7990267126
pdfbox;MLP;Our;3;model1;NONE;0.9302025579;0.9348141363;0.5762256548;0.9807957286;0.7785106917
pdfbox;RandomForest;Our;3;model2;NONE;0.9321012669;0.9377910083;0.5567494963;0.9866517396;0.7717006179
pdfbox;RandomForest;Our;3;model1;NONE;0.9301125053;0.9364170674;0.5392881128;0.9873406821;0.7633143974
pdfbox;LogistRegression;Our;3;model1;ROS;0.8064045373;0.7698648958;0.7112155809;0.7773854633;0.7443005221
pdfbox;LogistRegression;Our;3;model2;SMOTE;0.8040984239;0.7667353637;0.7132303559;0.7735962797;0.7434133178
pdfbox;LogistRegression;Our;3;model2;NONE;0.8036973753;0.7662010534;0.7132303559;0.772993455;0.7431119055
pdfbox;LogistRegression;Our;3;model1;NONE;0.8042292329;0.7669643539;0.7112155809;0.7741129866;0.7426642837
pdfbox;LogistRegression;Our;3;model1;SMOTE;0.8062348707;0.7697885658;0.7058428475;0.777988288;0.7419155678
pdfbox;LogistRegression;Our;3;model2;ROS;0.8064638232;0.770170216;0.7031564809;0.7787633483;0.7409599146
pdfbox;LogistRegression;Our;3;model2;ADA;0.7939734182;0.7529959545;0.7246474144;0.7566310713;0.7406392428
pdfbox;LogistRegression;Our;3;model1;ADA;0.7931661507;0.7519273338;0.7246474144;0.755425422;0.7400364182
junit4;DT;Our;3;model1;SMOTE;0.973267687;0.9721964782;0.8214285714;0.9804496579;0.9009391146
junit4;RandomForest;Our;3;model1;SMOTE;0.9813048632;0.9814643188;0.8035714286;0.991202346;0.8973868873
junit4;RandomForest;Our;3;model2;SMOTE;0.9802839504;0.9805375348;0.7857142857;0.991202346;0.8884583159
junit4;DT;Our;3;model1;ADA;0.9689253439;0.9675625579;0.7857142857;0.9775171065;0.8816156961
junit4;DT;Our;3;model2;SMOTE;0.9685380002;0.9670991659;0.7857142857;0.977028348;0.8813713169
junit4;RandomForest;Our;3;model2;ADA;0.9801065274;0.9805375348;0.7678571429;0.9921798631;0.880018503
junit4;DT;Our;3;model2;ADA;0.9721371539;0.9717330862;0.7589285714;0.9833822092;0.8711553903
junit4;RandomForest;Our;3;model1;ADA;0.9784371382;0.9791473587;0.7321428571;0.9926686217;0.8624057394
junit4;DT;Our;3;model2;NONE;0.9702273053;0.9708063021;0.6785714286;0.9868035191;0.8326874738
junit4;LogistRegression;Our;3;model2;ADA;0.8993575359;0.8702502317;0.7857142857;0.8748778104;0.830296048
junit4;LogistRegression;Our;3;model1;ROS;0.902326894;0.874884152;0.7767857143;0.8802541544;0.8285199344
junit4;DT;Our;3;model1;NONE;0.969686137;0.9703429101;0.6696428571;0.9868035191;0.8282231881
junit4;DT;Our;3;model1;ROS;0.9664936341;0.9666357739;0.6696428571;0.9828934506;0.8262681539
