Dataset;Algoritm;window;model;resample;F1-Score(weighted);Accuracy;Sensitivity;Specificity;ROCAUCscore
commons-io;LogistRegression;3;model2;SMOTE;0.8070193101;0.768081599;0.7153772684;0.774454325;0.7449157967
commons-io;LogistRegression;3;model2;ADA;0.8016407803;0.7607665362;0.7191977077;0.7657928167;0.7424952622
commons-io;LogistRegression;3;model2;NONE;0.8032495284;0.7631362044;0.7106017192;0.7694883936;0.7400450564
commons-io;RandomForest;4;model2;ROS;0.970416637;0.9709193246;0.8319327731;0.9883843717;0.9101585724
commons-io;RandomForest;4;model2;SMOTE;0.9676858868;0.9680008339;0.8347338936;0.9847471548;0.9097405242
commons-io;RandomForest;4;model2;ADA;0.9665475582;0.9669585157;0.8244631186;0.9848644843;0.9046638015
commons-io;DT;4;model2;SMOTE;0.9441821251;0.941942881;0.8384687208;0.9549454417;0.8967070813
commons-io;MLP;4;model2;ROS;0.9492252774;0.9483010215;0.8113912232;0.9655051038;0.8884481635
commons-io;DT;4;model2;ADA;0.9396906047;0.9373566813;0.8141923436;0.9528335093;0.8835129265
commons-io;MLP;4;model2;SMOTE;0.9485951138;0.947988326;0.7945845005;0.9672650475;0.880924774
commons-io;MLP;4;model2;ADA;0.9483529195;0.947988326;0.7833800187;0.9686730025;0.8760265106
commons-io;RandomForest;4;model2;NONE;0.9619064761;0.9638315614;0.731092437;0.9930775549;0.8620849959
commons-io;DT;4;model2;ROS;0.9486738498;0.9492391078;0.7478991597;0.9745394814;0.8612193205
commons-io;DT;4;model2;NONE;0.9449724091;0.9456952262;0.7273576097;0.9731315265;0.8502445681
commons-io;MLP;4;model2;NONE;0.9458753061;0.9492391078;0.6433239963;0.9876803942;0.8155021952
commons-io;LogistRegression;4;model2;ROS;0.8087770677;0.770481551;0.7787114846;0.7694473777;0.7740794311
commons-io;LogistRegression;4;model2;SMOTE;0.8075612997;0.7690223056;0.7721755369;0.7686260706;0.7704008038
commons-io;LogistRegression;4;model2;NONE;0.8022464158;0.7618303106;0.7796451914;0.7595916931;0.7696184422
commons-io;LogistRegression;4;model2;ADA;0.8007451942;0.7598499062;0.7796451914;0.7573624311;0.7685038112
junit4;RandomForest;2;model1;SMOTE;0.974619183;0.9746666667;0.7698412698;0.9868173258;0.8783292978
junit4;RandomForest;2;model1;ADA;0.9750292619;0.9755555556;0.7380952381;0.9896421846;0.8638687113
junit4;LogistRegression;2;model1;ADA;0.8823623528;0.8457777778;0.8650793651;0.8446327684;0.8548560667
junit4;DT;2;model1;ADA;0.9596857494;0.9577777778;0.7301587302;0.9712806026;0.8507196664
junit4;MLP;2;model1;ROS;0.9519291526;948;0.7301587302;0.9609227872;0.8455407587
junit4;MLP;2;model1;SMOTE;0.9505550011;0.9462222222;0.7301587302;0.959039548;0.8445991391
junit4;LogistRegression;2;model1;ROS;0.886215457;852;0.8333333333;0.8531073446;0.843220339
junit4;LogistRegression;2;model1;SMOTE;0.8815227079;0.8448888889;0.8412698413;0.8451035782;0.8431867097
junit4;LogistRegression;2;model1;NONE;0.8774003983;0.8391111111;0.8174603175;0.8403954802;0.8289278988
junit4;DT;2;model1;SMOTE;0.9569424744;0.9555555556;0.6746031746;0.9722222222;0.8234126984
junit4;MLP;2;model1;NONE;0.9547141781;0.9533333333;0.6507936508;0.9712806026;0.8110371267
junit4;MLP;2;model1;ADA;0.9531449672;0.9515555556;0.6428571429;0.9698681733;0.8063626581
junit4;DT;2;model1;NONE;0.9586413017;0.9591111111;0.6111111111;0.9797551789;0.795433145
junit4;RandomForest;2;model1;ROS;0.9691562095;0.9715555556;0.5952380952;0.9938794727;0.794558784
junit4;DT;2;model1;ROS;0.9595928057;0.9604444444;0.6031746032;0.9816384181;0.7924065106
junit4;RandomForest;2;model1;NONE;0.9569633142;964;0.3888888889;0.9981167608;0.6935028249
junit4;DT;3;model1;SMOTE;0.973267687;0.9721964782;0.8214285714;0.9804496579;0.9009391146
junit4;RandomForest;3;model1;SMOTE;0.9813048632;0.9814643188;0.8035714286;0.991202346;0.8973868873
junit4;DT;3;model1;ADA;0.9689253439;0.9675625579;0.7857142857;0.9775171065;0.8816156961
junit4;RandomForest;3;model1;ADA;0.9784371382;0.9791473587;0.7321428571;0.9926686217;0.8624057394
junit4;LogistRegression;3;model1;ROS;0.902326894;0.874884152;0.7767857143;0.8802541544;0.8285199344
junit4;DT;3;model1;NONE;0.969686137;0.9703429101;0.6696428571;0.9868035191;0.8282231881
junit4;DT;3;model1;ROS;0.9664936341;0.9666357739;0.6696428571;0.9828934506;0.8262681539
junit4;LogistRegression;3;model1;SMOTE;0.9037565637;0.8772011121;0.7678571429;0.8831867058;0.8255219243
junit4;LogistRegression;3;model1;NONE;0.8967976085;0.8665430955;0.7767857143;0.8714565005;0.8241211074
junit4;LogistRegression;3;model1;ADA;0.9016033896;0.8739573679;0.7678571429;0.8797653959;0.8238112694
junit4;RandomForest;3;model1;ROS;0.9729886494;0.9749768304;0.6160714286;0.9946236559;0.8053475422
junit4;MLP;3;model1;ADA;0.959460662;0.9606116775;0.5625;0.9824046921;0.772452346
junit4;MLP;3;model1;SMOTE;0.9568124629;0.9573679333;0.5625;0.9789833822;0.7707416911
junit4;MLP;3;model1;ROS;0.9560195445;0.9573679333;0.5267857143;0.9809384164;0.7538620654
junit4;MLP;3;model1;NONE;0.956888425;0.9624652456;0.4017857143;0.9931573803;0.6974715473
junit4;RandomForest;3;model1;NONE;0.9587093045;0.9652455978;0.3839285714;0.9970674487;0.6904980101
junit4;RandomForest;4;model1;SMOTE;0.9741989122;0.9738625363;0.7757009346;0.9846860643;0.8801934994
junit4;RandomForest;4;model1;ADA;0.9707409388;0.9699903195;0.7663551402;0.9811128127;0.8737339764
junit4;MLP;4;model1;SMOTE;0.9616939793;0.958857696;0.7757009346;0.9688616641;0.8722812993
junit4;LogistRegression;4;model1;SMOTE;0.914310316;0.8915779284;0.8411214953;0.8943338438;0.8677276696
junit4;DT;4;model1;SMOTE;0.9638990161;0.9622458858;0.738317757;0.9744767739;0.8563972654
junit4;LogistRegression;4;model1;ADA;0.9169973556;0.8964181994;0.7943925234;0.9019908116;0.8481916675
junit4;MLP;4;model1;ADA;0.9568092895;0.9535333979;0.7289719626;0.965798877;0.8473854198
junit4;DT;4;model1;ADA;0.9632277564;0.9617618587;0.7196261682;0.9749872384;0.8473067033
junit4;LogistRegression;4;model1;ROS;0.9035959724;0.876089061;0.8130841121;0.8795303726;0.8463072424
junit4;MLP;4;model1;ROS;0.9597164567;0.9574056147;0.7196261682;0.9703930577;0.845009613
junit4;LogistRegression;4;model1;NONE;0.8983392491;0.8683446273;0.8037383178;0.8718734048;0.8378058613
junit4;DT;4;model1;ROS;0.9662663111;0.9661181026;0.6822429907;0.9816232772;0.8319331339
junit4;RandomForest;4;model1;ROS;0.9709938312;0.9719264279;0.6635514019;0.9887697805;0.8261605912
junit4;MLP;4;model1;NONE;0.9663131723;0.968054211;0.5887850467;0.9887697805;0.7887774136
junit4;DT;4;model1;NONE;0.9608016147;0.9627299129;0.5420560748;0.9857069934;0.7638815341
junit4;RandomForest;4;model1;NONE;0.9556618659;0.96321394;0.3457943925;0.9969372129;0.6713658027
junit4;RandomForest;2;model2;ADA;0.9732329412;0.9733333333;0.753968254;0.986346516;0.870157385
junit4;RandomForest;2;model2;SMOTE;0.9699996466;0.9697777778;0.746031746;0.9830508475;0.8645412967
junit4;MLP;2;model2;SMOTE;0.9470894737;0.9413333333;0.746031746;0.9529190207;0.8494753834
junit4;LogistRegression;2;model2;ROS;0.8839948207;0.8484444444;0.8492063492;0.8483992467;0.848802798
junit4;LogistRegression;2;model2;SMOTE;0.8754030077;0.8355555556;0.8571428571;0.8342749529;0.845708905
junit4;LogistRegression;2;model2;ADA;0.8727094374;0.8315555556;0.8571428571;0.8300376648;0.843590261
junit4;MLP;2;model2;ROS;0.9531812572;0.9497777778;0.7222222222;0.9632768362;0.8427495292
junit4;DT;2;model2;SMOTE;0.9544438417;0.9515555556;0.7142857143;0.9656308851;0.8399582997
junit4;MLP;2;model2;ADA;0.9525628418;0.9493333333;0.7063492063;0.963747646;0.8350484262
junit4;LogistRegression;2;model2;NONE;0.8780777442;0.84;0.8253968254;0.84086629;0.8331315577
junit4;DT;2;model2;ADA;0.9567261014;0.9551111111;0.6825396825;0.9712806026;0.8269101426
junit4;RandomForest;2;model2;ROS;0.9710856366;0.9728888889;0.6349206349;0.9929378531;0.813929244
junit4;DT;2;model2;NONE;0.9618620626;0.9622222222;0.6428571429;0.9811676083;0.8120123756
